<name>,none,0
Undoubtedly,yes,5
I want to send some money from <bank>,send_money,3
<bank>,none,0
engineer,none,0
£258.42,none,0
Yes,yes,5
That is exactly right,yes,5
<name>,none,0
362 euros and 58 cents,none,0
<bank> account,none,0
<name> D'<surname>,none,0
I can't confirm that,no,6
Affirmative that's my belief,yes,5
<name>,none,0
<bank> <bank>,none,0
Would you please execute a transfer,send_money,3
Show my <bank> account balance in $,check_balance,1
<bank>,none,0
Please display the most recent payments to <name> <surname>,check_transactions,2
Give me a summary of recent payments,check_transactions,2
What are the options for customizing the transaction categories,none,0
<bank>,none,0
Not by any means I can't agree with that,no,6
It is as you say Absolutely,yes,5
Please display the most recent payments to <name> from my <bank>,check_transactions,2
Please request 429.55 pounds from <name> <surname>'s account at <bank>,request_money,4
six dollars and 47 cents,none,0
<bank> account,none,0
8.49 dollars,none,0
Check the balance of my <bank> account,check_balance,1
I deny,no,6
journalist,none,0
<bank> account,none,0
Indeed,yes,5
<name> <surname>,none,0
<name> <surname>,none,0
I am instructing a collection of $390.51 from sister-in-law <name> through my <bank> account,request_money,4
Can you tell me the balance for my <bank> account,check_balance,1
What are the steps to link my insurance policies with the app,none,0
AED76.25,none,0
<name> <surname>,none,0
<bank> account,none,0
£359 and nine cents,none,0
<bank> account,none,0
How much do I have in my State <bank> account in dirhams right now,check_balance,1
<name> <surname>,none,0
What are the latest transactions with <name> using my <bank> account,check_transactions,2
<bank>,none,0
Display my euros account balance,check_balance,1
<bank>,none,0
Find the recent payments I made to <name> <surname> from my <bank> account,check_transactions,2
List all recent transfers,check_transactions,2
Please arrange a payment of 157.01 pounds to <name> <surname> from <bank> account,send_money,3
<bank> account,none,0
How do I unsubscribe from the newsletter,none,0
<bank>,none,0
Kindly process a transaction of 324 dirhams and one cent to <name> <surname>,send_money,3
What's the maximum number of accounts I can have in the app,none,0
What are the customization options for the app's appearance,none,0
Can you check the last few transactions to <name> <surname> from <bank>,check_transactions,2
What are my most recent transactions to teacher,check_transactions,2
Please arrange a payment of AED419 and 14 cents to <name>,send_money,3
May I see the balance for my <bank> account in £,check_balance,1
No that's not in line with the facts,no,6
455.98 euros,none,0
For sure Affirmative,yes,5
$402.43,none,0
