carla,B-USER,7

undoubtedly,O,0

i,O,0
want,O,0
to,O,0
send,O,0
some,O,0
money,O,0
from,O,0
hd,B-BANK,3
##fc,I-BANK,4
bank,I-BANK,4

kb,B-BANK,3
##c,I-BANK,4
bank,I-BANK,4

engineer,B-USER,7

£2,B-AMOUNT,1
##58,I-AMOUNT,2
.,I-AMOUNT,2
42,I-AMOUNT,2

yes,O,0

that,O,0
is,O,0
exactly,O,0
right,O,0

luca,B-USER,7

36,B-AMOUNT,1
##2,I-AMOUNT,2
euros,I-AMOUNT,2
and,I-AMOUNT,2
58,I-AMOUNT,2
cents,I-AMOUNT,2

db,B-BANK,3
##s,I-BANK,4
bank,I-BANK,4
account,O,0

carmine,B-USER,7
d,I-USER,8
',I-USER,8
ami,I-USER,8
##co,I-USER,8

i,O,0
can,O,0
',O,0
t,O,0
confirm,O,0
that,O,0

affirmative,O,0
that,O,0
',O,0
s,O,0
my,O,0
belief,O,0

marcel,B-USER,7
##lo,I-USER,8

un,B-BANK,3
##ic,I-BANK,4
##red,I-BANK,4
##it,I-BANK,4
bank,I-BANK,4
austria,I-BANK,4

would,O,0
you,O,0
please,O,0
execute,O,0
a,O,0
transfer,O,0

show,O,0
my,O,0
trio,B-BANK,3
##dos,I-BANK,4
bank,I-BANK,4
account,O,0
balance,O,0
in,O,0
$,B-CURRENCY,5

ci,B-BANK,3
##bc,I-BANK,4

please,O,0
display,O,0
the,O,0
most,O,0
recent,O,0
payments,O,0
to,O,0
lucy,B-USER,7
johnson,I-USER,8

give,O,0
me,O,0
a,O,0
summary,O,0
of,O,0
recent,O,0
payments,O,0

what,O,0
are,O,0
the,O,0
options,O,0
for,O,0
custom,O,0
##izing,O,0
the,O,0
transaction,O,0
categories,O,0

ba,B-BANK,3
##wa,I-BANK,4
##g,I-BANK,4
ps,I-BANK,4
##k,I-BANK,4

not,O,0
by,O,0
any,O,0
means,O,0
i,O,0
can,O,0
',O,0
t,O,0
agree,O,0
with,O,0
that,O,0

it,O,0
is,O,0
as,O,0
you,O,0
say,O,0
absolutely,O,0

please,O,0
display,O,0
the,O,0
most,O,0
recent,O,0
payments,O,0
to,O,0
julian,B-USER,7
from,O,0
my,O,0
banco,B-BANK,3
bp,I-BANK,4
##m,I-BANK,4

please,O,0
request,O,0
42,B-AMOUNT,1
##9,I-AMOUNT,2
.,I-AMOUNT,2
55,I-AMOUNT,2
pounds,I-AMOUNT,2
from,O,0
rosario,B-USER,7
ce,I-USER,8
##cca,I-USER,8
##relli,I-USER,8
',O,0
s,O,0
account,O,0
at,O,0
er,B-BANK,3
##ste,I-BANK,4
group,I-BANK,4
bank,I-BANK,4

six,B-AMOUNT,1
dollars,I-AMOUNT,2
and,I-AMOUNT,2
47,I-AMOUNT,2
cents,I-AMOUNT,2

id,B-BANK,3
##bi,I-BANK,4
bank,I-BANK,4
account,O,0

8,B-AMOUNT,1
.,I-AMOUNT,2
49,I-AMOUNT,2
dollars,I-AMOUNT,2

check,O,0
the,O,0
balance,O,0
of,O,0
my,O,0
ic,B-BANK,3
##bc,I-BANK,4
account,O,0

i,O,0
deny,O,0

